Cod_setor,Situacao_setor,V062,V063,V064,V065,V066,V067,V068,V069,V070,V071,V072,V073,V074,V075,V076,V077,V078,V079,V080,V081,V082,V083,V084,V085,V086,V087,V088,V089,V090,V091,V092,V093,V094,V095,V096,V097,V098,V099,homens,mulheres
250100505000010,8,9,16,14,6,5,5,11,1,0,0,0,0,0,8,9,4,3,0,0,5,4,1,4,0,8,7,4,1,0,0,0,0,1,1,0,0,0,0,91,36
250100505000011,8,19,24,24,11,8,11,4,0,0,0,0,0,0,19,9,6,0,0,0,6,6,2,3,2,0,3,4,3,1,0,1,0,2,0,0,0,0,0,135,33
250100505000012,8,22,43,19,14,9,11,7,0,0,0,0,0,0,22,13,4,3,0,1,9,8,7,5,3,3,3,5,4,1,1,0,0,4,0,1,1,1,0,168,56
250100505000013,8,18,31,22,22,8,17,5,0,1,0,0,0,0,18,17,3,4,0,0,4,8,7,1,5,1,4,4,3,0,0,0,0,0,1,1,0,0,0,166,39
250100505000014,5,58,75,47,44,22,18,13,5,0,0,0,0,0,53,25,13,5,1,0,31,24,25,15,4,2,16,25,9,3,3,0,0,6,3,2,0,0,0,379,168
250100505000015,8,8,10,13,6,3,2,11,1,0,0,0,0,0,7,5,6,0,0,0,5,5,8,6,2,6,1,5,3,2,2,0,0,0,0,0,0,0,0,72,45
250100505000016,8,17,16,19,14,5,7,1,0,0,0,0,0,0,17,8,2,0,0,0,2,4,3,3,0,1,0,1,1,0,0,0,0,1,2,0,0,0,0,106,18
250100505000017,8,23,41,30,24,6,16,8,2,0,0,0,0,0,21,20,2,2,0,0,8,4,1,4,3,2,7,3,1,0,0,0,0,5,1,0,0,0,0,195,39
250100505000018,8,39,58,44,37,22,24,17,1,0,0,0,0,0,38,25,10,3,2,0,14,20,12,9,2,2,6,11,11,3,2,0,0,3,3,0,0,0,0,320,98
250100505000019,5,19,20,14,8,3,4,1,0,0,0,0,0,0,19,11,2,0,1,0,2,2,2,0,0,0,1,1,1,0,0,0,0,1,1,0,0,0,0,102,11
250100505000020,8,52,55,53,42,17,18,17,1,0,0,0,0,0,51,28,7,7,1,0,16,20,12,12,6,7,10,12,7,4,1,0,1,4,3,1,0,0,0,349,116
250100505000021,7,17,16,16,10,5,0,2,0,0,1,0,0,0,17,8,6,2,0,0,4,1,2,0,0,1,2,1,0,0,0,0,0,3,0,0,0,0,0,100,14
250100505000022,5,10,6,9,9,4,4,5,1,0,0,0,0,0,9,1,2,1,0,0,2,1,2,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,61,8
250100505000023,5,16,19,15,15,5,7,1,1,0,0,0,0,0,15,9,4,1,0,0,2,4,5,3,1,2,2,2,2,3,1,0,0,0,0,0,0,0,0,108,27
250100505000024,1,25,19,15,10,2,3,5,1,0,0,0,0,0,24,5,5,0,0,0,23,34,29,16,4,3,14,18,15,4,3,0,0,5,3,1,1,0,0,114,173
250100505000025,1,29,50,33,14,15,13,10,1,0,0,0,0,0,28,24,5,3,1,0,28,38,19,18,8,6,11,16,14,4,2,0,0,12,7,1,0,0,0,226,184
250100505000026,1,19,15,14,5,3,2,5,1,1,0,0,0,0,18,5,2,1,0,0,18,40,24,29,12,13,13,16,21,6,0,1,0,2,4,0,1,0,0,91,200
250100505000027,1,27,42,46,26,10,7,11,0,1,0,0,0,0,27,20,12,8,0,1,20,15,17,11,1,5,6,15,9,3,3,0,0,5,2,2,1,0,0,238,115
250110405000001,1,13,17,22,7,3,1,8,1,0,0,0,0,0,12,9,10,1,0,0,13,9,4,6,1,3,10,10,2,1,0,0,0,3,1,0,0,0,0,104,63
250110405000002,1,21,21,13,13,6,6,15,1,0,0,0,0,0,20,11,4,1,1,1,18,20,16,3,1,0,19,7,6,2,1,0,0,11,3,2,0,0,0,134,109
250110405000003,1,23,15,20,17,7,6,13,1,2,0,0,0,0,22,7,6,5,0,0,22,20,15,15,4,3,20,14,3,2,1,0,0,8,4,2,2,0,0,144,135
250110405000004,1,14,34,30,14,9,6,11,0,0,2,0,0,0,14,12,7,2,0,0,9,16,7,5,6,5,3,5,6,2,0,0,0,4,3,0,0,0,0,155,71
250110405000005,1,19,28,15,16,7,3,17,2,0,0,0,0,0,17,13,4,4,0,0,25,17,18,17,4,7,16,19,6,3,0,0,0,6,3,1,0,0,0,145,142
250110405000006,1,11,18,30,16,5,3,8,0,0,0,0,0,0,11,7,12,0,1,0,12,9,21,11,7,7,11,9,4,4,0,1,0,3,0,1,0,0,0,122,100
250110405000007,1,29,35,31,18,10,8,14,3,0,0,0,0,0,26,9,9,1,1,0,17,34,27,22,7,12,18,13,16,5,1,1,0,4,3,0,0,0,0,194,180
250110405000008,1,21,24,34,13,1,4,10,2,0,1,0,0,0,19,12,7,0,1,0,30,25,22,16,7,7,16,19,5,5,2,0,0,11,3,3,1,0,0,149,172
250110405000009,1,20,22,24,24,7,17,12,4,0,0,0,0,0,16,10,5,3,0,0,17,22,21,13,10,12,6,13,9,7,1,0,1,4,2,1,1,0,0,164,140
250110405000010,1,18,22,24,20,5,8,5,3,1,0,0,0,0,15,10,7,3,0,0,6,9,7,4,6,3,6,5,2,2,0,0,0,1,2,1,0,0,0,141,54
250110405000011,8,7,13,18,10,10,11,8,1,0,0,0,0,0,6,8,4,2,1,1,9,6,6,4,1,6,2,5,4,3,0,0,0,4,0,0,0,0,0,100,50
250110405000012,8,12,15,25,17,8,19,2,1,1,1,0,0,0,11,7,7,1,1,0,2,2,1,2,1,1,2,2,1,0,0,0,0,0,0,0,0,0,0,128,14
250110405000013,5,13,12,10,11,7,9,7,1,1,1,0,0,0,12,5,1,2,0,1,14,27,23,14,7,11,4,11,9,8,1,2,1,3,1,1,0,1,0,93,138
250110405000014,8,3,5,2,2,2,2,4,0,0,0,0,0,0,3,2,0,0,0,0,6,4,5,6,3,5,2,6,3,0,0,0,0,0,0,0,0,0,0,25,40
